Scenario,Parameter,ActualParameter,Replicate,RunIndex,Algorithm,ElapsedMs,TimedOut
digits,4,4,7,2,R,130.593273,False
digits,4,4,7,3,R,140.845519,False
digits,4,4,8,1,I,167.577584,False
digits,4,4,8,2,I,166.290744,False
digits,4,4,8,3,I,165.701594,False
digits,4,4,8,1,Q,138.014214,False
digits,4,4,8,2,Q,130.169231,False
digits,4,4,8,3,Q,133.982171,False
digits,4,4,8,1,M,151.444969,False
digits,4,4,8,2,M,132.906038,False
digits,4,4,8,3,M,140.780785,False
digits,4,4,8,1,H,132.405093,False
digits,4,4,8,2,H,150.512501,False
digits,4,4,8,3,H,148.781306,False
digits,4,4,8,1,R,143.48327,False
digits,4,4,8,2,R,155.845833,False
digits,4,4,8,3,R,143.269477,False
digits,4,4,9,1,I,163.52817,False
digits,4,4,9,2,I,166.107942,False
digits,4,4,9,3,I,168.728774,False
digits,4,4,9,1,Q,134.751874,False
digits,4,4,9,2,Q,138.509855,False
digits,4,4,9,3,Q,132.737397,False
digits,4,4,9,1,M,150.479037,False
digits,4,4,9,2,M,150.950483,False
digits,4,4,9,3,M,152.533932,False
digits,4,4,9,1,H,150.956623,False
digits,4,4,9,2,H,154.879294,False
digits,4,4,9,3,H,171.968578,False
digits,4,4,9,1,R,156.994275,False
digits,4,4,9,2,R,155.59485,False
digits,4,4,9,3,R,155.847033,False
digits,4,4,10,1,I,183.687796,False
digits,4,4,10,2,I,168.971888,False
digits,4,4,10,3,I,177.209003,False
digits,4,4,10,1,Q,150.174596,False
digits,4,4,10,2,Q,133.718617,False
digits,4,4,10,3,Q,148.348798,False
digits,4,4,10,1,M,155.085891,False
digits,4,4,10,2,M,134.123409,False
digits,4,4,10,3,M,153.778123,False
digits,4,4,10,1,H,145.281155,False
digits,4,4,10,2,H,145.997358,False
digits,4,4,10,3,H,141.662517,False
digits,4,4,10,1,R,155.270995,False
digits,4,4,10,2,R,155.698397,False
digits,4,4,10,3,R,155.405616,False
digits,4,4,11,1,I,180.226217,False
digits,4,4,11,2,I,204.085583,False
digits,4,4,11,3,I,186.126902,False
digits,4,4,11,1,Q,151.122839,False
digits,4,4,11,2,Q,148.226318,False
digits,4,4,11,3,Q,134.990857,False
digits,4,4,11,1,M,150.427365,False
digits,4,4,11,2,M,133.438398,False
digits,4,4,11,3,M,153.198726,False
digits,4,4,11,1,H,134.6143,False
digits,4,4,11,2,H,146.91992,False
digits,4,4,11,3,H,132.585943,False
digits,4,4,11,1,R,141.000809,False
digits,4,4,11,2,R,151.936966,False
digits,4,4,11,3,R,156.603052,False
digits,4,4,12,1,I,185.599862,False
digits,4,4,12,2,I,208.787181,False
digits,4,4,12,3,I,177.052388,False
digits,4,4,12,1,Q,154.167387,False
digits,4,4,12,2,Q,149.833365,False
digits,4,4,12,3,Q,183.89554,False
digits,4,4,12,1,M,155.666049,False
digits,4,4,12,2,M,150.240893,False
digits,4,4,12,3,M,152.56329,False
digits,4,4,12,1,H,151.703935,False
digits,4,4,12,2,H,151.094818,False
digits,4,4,12,3,H,133.374182,False
digits,4,4,12,1,R,138.159413,False
digits,4,4,12,2,R,139.870664,False
digits,4,4,12,3,R,190.308726,False
digits,4,4,13,1,I,162.982003,False
digits,4,4,13,2,I,180.270629,False
digits,4,4,13,3,I,182.524657,False
digits,4,4,13,1,Q,152.791501,False
digits,4,4,13,2,Q,152.751678,False
digits,4,4,13,3,Q,157.490746,False
digits,4,4,13,1,M,135.81715,False
digits,4,4,13,2,M,139.796436,False
digits,4,4,13,3,M,158.975334,False
digits,4,4,13,1,H,137.74622,False
digits,4,4,13,2,H,134.250347,False
digits,4,4,13,3,H,135.766053,False
digits,4,4,13,1,R,133.970983,False
digits,4,4,13,2,R,142.086792,False
digits,4,4,13,3,R,144.696731,False
digits,5,5,1,1,I,186.559641,False
digits,5,5,1,2,I,185.519554,False
digits,5,5,1,3,I,184.486662,False
digits,5,5,1,1,Q,150.85439,False
digits,5,5,1,2,Q,130.244925,False
digits,5,5,1,3,Q,139.030276,False
digits,5,5,1,1,M,138.246004,False
digits,5,5,1,2,M,139.552549,False
digits,5,5,1,3,M,141.57897,False
digits,5,5,1,1,H,154.852151,False
digits,5,5,1,2,H,141.207455,False
digits,5,5,1,3,H,142.06809,False
digits,5,5,1,1,R,142.929086,False
digits,5,5,1,2,R,147.687987,False
digits,5,5,1,3,R,147.332115,False
digits,5,5,2,1,I,189.829594,False
digits,5,5,2,2,I,188.276647,False
digits,5,5,2,3,I,171.748006,False
digits,5,5,2,1,Q,141.103681,False
digits,5,5,2,2,Q,144.388494,False
digits,5,5,2,3,Q,160.835953,False
digits,5,5,2,1,M,154.197061,False
digits,5,5,2,2,M,143.219979,False
digits,5,5,2,3,M,142.913673,False
digits,5,5,2,1,H,149.536213,False
digits,5,5,2,2,H,135.827207,False
digits,5,5,2,3,H,138.273126,False
digits,5,5,2,1,R,137.325277,False
digits,5,5,2,2,R,145.976565,False
digits,5,5,2,3,R,143.764878,False
digits,5,5,3,1,I,169.255626,False
digits,5,5,3,2,I,202.005284,False
digits,5,5,3,3,I,172.783205,False
digits,5,5,3,1,Q,147.937817,False
digits,5,5,3,2,Q,135.814395,False
digits,5,5,3,3,Q,133.191898,False
digits,5,5,3,1,M,138.523845,False
digits,5,5,3,2,M,139.459902,False
digits,5,5,3,3,M,140.776771,False
digits,5,5,3,1,H,139.674771,False
digits,5,5,3,2,H,136.175316,False
digits,5,5,3,3,H,159.991446,False
digits,5,5,3,1,R,142.93919,False
digits,5,5,3,2,R,143.297727,False
digits,5,5,3,3,R,150.452546,False
digits,5,5,4,1,I,196.823287,False
digits,5,5,4,2,I,191.545095,False
digits,5,5,4,3,I,167.052165,False
digits,5,5,4,1,Q,124.375341,False
digits,5,5,4,2,Q,161.021244,False
digits,5,5,4,3,Q,135.270391,False
digits,5,5,4,1,M,137.775593,False
digits,5,5,4,2,M,141.040875,False
digits,5,5,4,3,M,143.284695,False
digits,5,5,4,1,H,141.1797,False
digits,5,5,4,2,H,138.543318,False
digits,5,5,4,3,H,137.793656,False
digits,5,5,4,1,R,162.870265,False
digits,5,5,4,2,R,144.656248,False
digits,5,5,4,3,R,144.145561,False
digits,5,5,5,1,I,172.173171,False
digits,5,5,5,2,I,178.096305,False
digits,5,5,5,3,I,177.263293,False
